"","Selectivity","CAt_DW","logDiff","ShapeIndex_DW","sp3_At_DW","logSw","T_PSA","HBD","HBA","logD"
"2_4-DEB","BL",-0.409330029956904,0.426632588857306,1.48029944651955,-0.511884916712319,-0.345239479643436,-0.446755662872757,-0.848199819203203,-0.587154362886399,0.728802107426144
"3_4-DA","BL",-0.567730234115642,1.05671281895748,1.38393566676349,-0.545203202366714,0.833544934428731,-0.442576808981599,-0.350226576636095,-0.587154362886399,-0.511138118009499
"3_4-DB","BL",-0.522473032927431,0.770166104864264,1.89795936580037,-0.478566631057923,0.532251497843484,-0.442576808981599,-0.350226576636095,-0.587154362886399,-0.348973951615106
"3_4-DP","BL",-0.545101633521536,0.906244282564665,0.764275210464755,-0.511884916712319,0.743430229050017,-0.442576808981599,-0.350226576636095,-0.587154362886399,-0.485202330492464
"4-CPA","BL",-0.567730234115642,1.19613159808948,2.1068519806942,-0.545203202366714,1.07388767152265,-0.442576808981599,-0.350226576636095,-0.587154362886399,-0.636101457864306
"4-CPB","BL",-0.522473032927431,0.883232013043852,2.55433580060173,-0.478566631057923,0.756941274058507,-0.442576808981599,-0.350226576636095,-0.587154362886399,-0.4865122187509
"4-CPP","BL",-0.545101633521536,1.0302599951034,1.38393566676349,-0.511884916712319,0.986400099892097,-0.442576808981599,-0.350226576636095,-0.587154362886399,-0.629028061268751
"acetochlor","G",-0.431958630551009,0.376497081176766,-1.02591069017906,-0.378611774094735,0.474346105837104,-0.449031238764397,-0.848199819203203,-0.587154362886399,0.231830502175475
"alachlor","G",-0.431958630551009,0.376497081176766,-1.72213586615393,-0.378611774094735,0.519238678216074,-0.449031238764397,-0.848199819203203,-0.587154362886399,0.211920200647246
"allidochlor","G",-0.567730234115642,0.978943625894708,0.682823381022051,-0.545203202366714,1.33144560450401,-0.452537677074888,-0.848199819203203,-0.679558186254976,-0.200694600760136
"ametridione","BL",-0.522473032927431,0.52984897314713,0.0798292221323657,-0.345293488440339,0.741425100821066,-0.428756199476111,-0.350226576636095,-0.494750539517821,-0.186547807569026
"amibuzin","BL",-0.522473032927431,0.685254230205364,-0.608250770898237,-0.411930059749131,1.21300696339762,-0.440871076802389,-0.848199819203203,-0.494750539517821,-0.18995351704096
"amicarbazone","BL",-0.522473032927431,0.568181500077519,-0.657372489577528,-0.378611774094735,0.498848020694558,-0.424186052902417,0.147746665931013,-0.402346716149244,-0.0814947692424477
"amidosulfuron","NS",-0.545101633521536,0.206006111757451,-0.753485648319921,-0.378611774094735,1.07742585323339,-0.400651507579027,0.147746665931013,0.244480047430796,-0.686401166988254
"aminocyclopyrachlor","BL",-0.567730234115642,1.08288021945215,-1.02591069017906,-0.511884916712319,0.756941274058507,-0.426404644422814,0.147746665931013,-0.402346716149244,-0.908558215619022
"amiprofos-methyl","G",-0.499844432333325,0.357425795026033,-0.696093436189522,-0.311975202785944,0.282243149269605,-0.431263511810807,-0.350226576636095,-0.402346716149244,0.391898847356371
"amiprophos","G",-0.47721583173922,0.263072718516027,-1.02591069017906,-0.278656917131548,0.162977226525291,-0.431263511810807,-0.350226576636095,-0.402346716149244,0.481495204233402
"anilofos","G",-0.454587231145115,0.105446529091287,-0.130817739857152,-0.278656917131548,0.135667192740057,-0.445524800453907,-0.848199819203203,-0.494750539517821,0.583142533088046
"anisuron","BL",-0.364072828768693,0.14756427168188,-0.503741808197905,-0.511884916712319,0.0668514035386707,-0.441315554898085,-0.848199819203203,-0.402346716149244,0.447438109514063
"atraton","BL",-0.545101633521536,0.726711973159373,0.227194378170244,-0.411930059749131,0.701500025722836,-0.432916058576856,0.147746665931013,-0.309942892780667,0.150093474849061
"atrazine","BL",-0.567730234115642,0.791604642501535,0.764275210464755,-0.478566631057923,0.424006614010993,-0.436422496887346,0.147746665931013,-0.402346716149244,0.224495127928233
"azafenidin","BL",-0.409330029956904,0.357425795026033,-0.456374436614301,-0.445248345403527,0.240141988704435,-0.441619471544715,-0.848199819203203,-0.587154362886399,0.292347339715225
"azimsulfuron","NS",-0.454587231145115,0.066185326399505,-0.809875376395639,-0.411930059749131,0.909171969165314,-0.391518812347803,0.147746665931013,0.336883870799373,-0.730937367775082
