"","Selectivity","CAt_DW","logDiff","ShapeIndex_DW","sp3_At_DW","logSw","T_PSA","HBD","HBA","logP"
"2_4-DEB","BL",-0.409330029956904,0.426632588857306,1.48029944651955,-0.511884916712319,-0.345239479643436,-0.446755662872757,-0.848199819203203,-0.587154362886399,0.597918906133138
"3_4-DA","BL",-0.567730234115642,1.05671281895748,1.38393566676349,-0.545203202366714,0.833544934428731,-0.442576808981599,-0.350226576636095,-0.587154362886399,-0.151948234115021
"3_4-DB","BL",-0.522473032927431,0.770166104864264,1.89795936580037,-0.478566631057923,0.532251497843484,-0.442576808981599,-0.350226576636095,-0.587154362886399,0.0768930562439145
"3_4-DP","BL",-0.545101633521536,0.906244282564665,0.764275210464755,-0.511884916712319,0.743430229050017,-0.442576808981599,-0.350226576636095,-0.587154362886399,-0.00292678583328217
"4-CPA","BL",-0.567730234115642,1.19613159808948,2.1068519806942,-0.545203202366714,1.07388767152265,-0.442576808981599,-0.350226576636095,-0.587154362886399,-0.391773906411185
"4-CPB","BL",-0.522473032927431,0.883232013043852,2.55433580060173,-0.478566631057923,0.756941274058507,-0.442576808981599,-0.350226576636095,-0.587154362886399,-0.183070649603836
"4-CPP","BL",-0.545101633521536,1.0302599951034,1.38393566676349,-0.511884916712319,0.986400099892097,-0.442576808981599,-0.350226576636095,-0.587154362886399,-0.249709233356358
"acetochlor","G",-0.431958630551009,0.376497081176766,-1.02591069017906,-0.378611774094735,0.474346105837104,-0.449031238764397,-0.848199819203203,-0.587154362886399,-0.096660178364302
"alachlor","G",-0.431958630551009,0.376497081176766,-1.72213586615393,-0.378611774094735,0.519238678216074,-0.449031238764397,-0.848199819203203,-0.587154362886399,-0.124487279271949
"allidochlor","G",-0.567730234115642,0.978943625894708,0.682823381022051,-0.545203202366714,1.33144560450401,-0.452537677074888,-0.848199819203203,-0.679558186254976,-0.701167330976466
"ametridione","BL",-0.522473032927431,0.52984897314713,0.0798292221323657,-0.345293488440339,0.741425100821066,-0.428756199476111,-0.350226576636095,-0.494750539517821,-0.681395443489454
"amibuzin","BL",-0.522473032927431,0.685254230205364,-0.608250770898237,-0.411930059749131,1.21300696339762,-0.440871076802389,-0.848199819203203,-0.494750539517821,-0.685789196264345
"amicarbazone","BL",-0.522473032927431,0.568181500077519,-0.657372489577528,-0.378611774094735,0.498848020694558,-0.424186052902417,0.147746665931013,-0.402346716149244,-0.534204725530586
"amidosulfuron","NS",-0.545101633521536,0.206006111757451,-0.753485648319921,-0.378611774094735,1.07742585323339,-0.400651507579027,0.147746665931013,0.244480047430796,-0.803688229057269
"aminocyclopyrachlor","BL",-0.567730234115642,1.08288021945215,-1.02591069017906,-0.511884916712319,0.756941274058507,-0.426404644422814,0.147746665931013,-0.402346716149244,-0.873988273455534
"amiprofos-methyl","G",-0.499844432333325,0.357425795026033,-0.696093436189522,-0.311975202785944,0.282243149269605,-0.431263511810807,-0.350226576636095,-0.402346716149244,0.144263932125585
"amiprophos","G",-0.47721583173922,0.263072718516027,-1.02591069017906,-0.278656917131548,0.162977226525291,-0.431263511810807,-0.350226576636095,-0.402346716149244,0.268753594080846
"anilofos","G",-0.454587231145115,0.105446529091287,-0.130817739857152,-0.278656917131548,0.135667192740057,-0.445524800453907,-0.848199819203203,-0.494750539517821,0.39434169422983
"anisuron","BL",-0.364072828768693,0.14756427168188,-0.503741808197905,-0.511884916712319,0.0668514035386707,-0.441315554898085,-0.848199819203203,-0.402346716149244,0.204678032780344
"atraton","BL",-0.545101633521536,0.726711973159373,0.227194378170244,-0.411930059749131,0.701500025722836,-0.432916058576856,0.147746665931013,-0.309942892780667,-0.210897750511483
"atrazine","BL",-0.567730234115642,0.791604642501535,0.764275210464755,-0.478566631057923,0.424006614010993,-0.436422496887346,0.147746665931013,-0.402346716149244,-0.106912268172382
"azafenidin","BL",-0.409330029956904,0.357425795026033,-0.456374436614301,-0.445248345403527,0.240141988704435,-0.441619471544715,-0.848199819203203,-0.587154362886399,-0.0120804374476395
"azimsulfuron","NS",-0.454587231145115,0.066185326399505,-0.809875376395639,-0.411930059749131,0.909171969165314,-0.391518812347803,0.147746665931013,0.336883870799373,-0.790873116797168
"aziprotryne","BL",-0.590358834709747,0.812855330780788,0.227194378170244,-0.478566631057923,0.498848020694558,-0.422092826998754,-0.350226576636095,-0.309942892780667,-0.0358799316449688
"benazolin","BL",-0.545101633521536,0.978943625894708,-0.608250770898237,-0.545203202366714,0.650275714271191,-0.437725539509771,-0.350226576636095,-0.587154362886399,-0.547752129919835
"bencarbazone","BL",-0.454587231145115,0.119567206489754,-1.72213586615393,-0.445248345403527,0.0375842116671578,-0.417701231454955,0.147746665931013,-0.309942892780667,-0.22261442457786
"benfluralin","G",-0.454587231145115,0.34141769479491,-1.2983357320382,-0.311975202785944,-0.487002944855752,-0.424208846650914,-0.848199819203203,-0.402346716149244,0.63636424291344
"benfuresate","G",-0.47721583173922,0.568181500077519,-0.657372489577528,-0.345293488440339,0.749814369698198,-0.440270841425295,-0.848199819203203,-0.494750539517821,-0.218220671802969
"bensulide","G",-0.431958630551009,-0.086020661591417,-0.208635564601644,-0.17870206016836,0.194504346478739,-0.435700694851601,-0.350226576636095,-0.402346716149244,0.381892728034304
"benzfendizone","BL",-0.18304402401585,-0.293909618693123,-0.677798102191622,-0.278656917131548,-0.0617125496897311,-0.426533808997631,-0.848199819203203,-0.309942892780667,0.169161864516637
"benzthiazuron","BL",-0.545101633521536,1.00351545441429,0.764275210464755,-0.611839773675506,0.34694091766658,-0.439731389377528,0.147746665931013,-0.494750539517821,-0.389943176088314
"bifenox","BL",-0.431958630551009,0.426632588857306,-0.456374436614301,-0.511884916712319,-0.699389953552158,-0.429348836937039,-0.848199819203203,-0.402346716149244,0.470866221725858
"bromacil","BL",-0.545101633521536,0.791604642501535,-0.130817739857152,-0.478566631057923,0.908950025019644,-0.439412276898566,-0.350226576636095,-0.679558186254976,-0.641119376386281
"bromobonil","G",-0.454587231145115,0.426632588857306,0.853746912344896,-0.378611774094735,-0.0160749074640355,-0.434211503283115,-0.848199819203203,-0.402346716149244,0.0681055506941314
"bromofenoxim","BL",-0.454587231145115,0.325303219748214,0.0183017632764153,-0.511884916712319,-0.0160749074640355,-0.410878302738117,-0.350226576636095,-0.21753906941209,-0.0864080885562217
"bromoxynil","G",-0.590358834709747,1.16659695359693,0.682823381022051,-0.611839773675506,0.664700642699971,-0.443530347460399,-0.350226576636095,-0.679558186254976,0.000734674812460885
"butachlor","G",-0.364072828768693,0.105446529091287,-0.72754637340509,-0.278656917131548,0.080050915522585,-0.449031238764397,-0.848199819203203,-0.587154362886399,0.484779772179681
